title,description
Bodegas Volver Quinta del 67' 2019," Bodegas Volver Quinta del 67' 2019 Bodegas Volver Quinta del 67' has a velvety deep red. The complex aromas of ripe dark berries, spicy, and some balsamic aromas makes you salivate. On the palate with a lot of structure, silky tannin and lots of fruit, chocolate, liquorice. Long and persistent finish. Very powerful and with a long life ahead. This wine is a new project of Rafael Cañizares, who wants to pay homage to his generation.The vineyards of Garnacha tintorera for Quinta del 67, are located around Alpera, certificated by the DO Almansa. Planted between 1970 and 1980 in vaso system and with no irrigation, giving a yield from 2 to 3kg per vine. Soils are sandy, poor and intermixed with rocks of pure lime. The combination of the soil profile and the altitude in a range between 850m-900m above sea level, give this region a very unique terroir. A severe weather, arid and continental climate, with cold winters that receive snow. During the summer, the temperature fluctuates drastically between day and night due to the altitude. Vines are hand-harvested at the beginning of October.The wine undergoes malolactic fermentation in barrel and it is aged in new French oak barrels for 14 months. Quinta del 67 is unfiltered bottled in the estate. The production of the 2017 vintage will be 25.000 bottles. Interested in Bodegas Volver wines? Give this Bobal a try.AWARDS & ACCOLADES "
Azueira O Magnânimo D. João V Reserva Tinto 2019," Azueira O Magnânimo D. João V Reserva Tinto 2019 Azueira O Magnânimo D. João V Reserva Tinto is an intense and fruity Portuguese Red.Violet colour in the glass. A powerful bouquet with black plum, wild berries and tobacco spice aromas. Elegant, full-bodied and quite dry on the palate with a balanced acidity and silky tannins. Intense and fruity flavours of juicy black plums, wild blackberries and lots of spicy oak notes that linger well beyond the finish.Fun Fact: The creation of this wine draws inspiration from D. João V (D. John V) of Portugal, otherwise known as the Magnanimous or the Portuguese Sun King. D. João V ruled as King of Portugal during the first half of the 18th century. His reign saw the rise of Portugal to new levels of prosperity, wealth and prestige. This wine aims to honour the sumptuousness and refinement of the banquets of the magnanimous monarch.    Varietal composition: Alicante Bouschet and Castelão. The fruit comes from vineyards in the Lisbon area, Portugal's capital. The vines experience a temperate Mediterranean climate with the influence of Atlantic breezes. The area's originally Jurassic and cretaceous soils results in a clay-limestone soil composition, perfect for the production of wines with good sugar content.          Long post-fermentative maceration of 30 days with selected yeasts and pectolytic extraction enzymes. The wine ages in American oak casks for a year.           13.5%How about a Portuguese White? Check out Quinta do Vale Meão Meandro Douro White 2018.   AWARDS & ACCOLADES  "
Sartori Prosecco Brut “Love Story” DOC NV," Sartori Prosecco Brut “Love Story” DOC NVSartori Prosecco Brut “Love Story” has a straw yellow colour with light green hues. The nose reveals a delicate fruity bouquet with reminiscent of wild apples and acacia flowers. The palate comprises of citrusy notes with orange blossoms and stone fruits. The fresh citrusy and floral notes gives it a crisp and refreshing finish with lingering elegant scent. The tiny persistent bubble streams gives this sparkling a smooth and fresh cut.100% Glera grapes from vineyards grown in clay calcareous alluvial soil. The grapes were harvested around the middle of September and undergo soft pressing before fermentation in controlled temperature, with the application of Charmat method.Love Story is a theme that represents the bond between the Sartori family and their land. It is a heritage that has evolved and is reflected in their interpretations of the great Veronese wines, as well as in their innovative expressions of the traditional varietal. Their love and care for the grapes in the vineyard can be felt with every sip, in every bottle.Top tips: Excellent as an aperitif, and also pairs well with fish, fresh fruits and pastries.Give this white from Sartori a try.11% "
First Drop 2% Barossa Shiraz 2018," First Drop 2% Barossa Shiraz 2018 How about Oreo and Wine? Phat Barossa Shiraz with a 2% splash of funk! First Drop 2% Barossa Shiraz has a 2% splash of Moscatel funk that supports the base line fruit and puts the 'ph' in fat.Dark plum colour. Intense bouquet of dark bramble fruit, tobacco, chocolate and spice. The full-bodied palate is sexy, textured, elegant and smooth with a lively acidity and dense core of tannins. Rich, phat flavours of sweet dark berry fruits, dark chocolate with a hint of tobacco, earth, smoke and subtle oak. The finish is long, creamy and full of juicy black fruit.98% Shiraz and 2% Moscatel/Muscat. Muscat is frequently a core component of sweet wines. Its addition to this wine gives it intoxicating aromas that make it a step above your average Barossa Shiraz. First Drop sources premium fruit from 3 unique vineyards to bring you this gorgeous expression of Barossa Shiraz:35% Greenock – Damon and Nathan’s vineyard is just north east of Greenock in the north west of the Barossa, 330 metres a.s.l. on clay with ironstone soils.35% Ebenezer – Michael’s vineyard is at Ebenezer in the north of the Barossa, 296 metres a.s.l. on deep red clay soils.30% Seppeltsfield – Darren’s vineyard is to the north of Seppeltsfield in the west of the Barossa, 285 metres a.s.l. on clay over limestone soils. Vinification: The fruit goes through crushing and destemming, then fermentation at temperatures between 20–25°C for 12 days on skins. The ferment is managed through a variety of techniques, including ‘aerative pump overs’ and ‘drain and returns’, which assist in extracting colour, flavour and tannin from the grapes. At the end of fermentation, the juice is drained/pressed, and transferred to 28% new French oak hogsheads and the balance to 3- and 4-year-old French oak hogsheads and American oak barriques to undergo malolactic fermentation (MLF). Post-MLF, sulphur dioxide is added, and the wine matures sur lie for 17 months. No filtering before bottling.Ageing potential: Will continue to mature for 8–15 years from vintage. Drink up or reward yourself later.Check out what other Barossa Valley wines we have available! 14% AWARDS & ACCOLADES  "
Kabaj Ravan 2016," Kabaj Ravan 2016 Kabaj Ravan has a vivid funky energy pairing with its certain smooth elegance. Crystalline with a straw yellow colour. Complex floral nose of acacia and dandelion flowers with a hint of pineapple and spicy vanilla tones. Medium-bodied and dry on the palate with a zippy acidity. Fruity sensations of ripe peach, pear and apricot kernels persist in the mouth, leading to a dry vanilla spice finish.100% Ravan. ""Ravan"" is the house name for the local variety formerly known as Tocai Friulano. The grapes come from Kabaj's 15 hectares of local vineyards in the Brda region.    Manual harvesting then 7 days maceration in inox, wood and concrete vessels. The wine ages for 2 years in 225L French oak barrels and an additional 6 months in the bottles.          13%We've got more from Kabaj! Check them out here. AWARDS & ACCOLADES   - 93 POINTS "
Cakebread Cellars Two Creeks Pinot Noir 2020," Cakebread Cellars Two Creeks Pinot Noir The Cakebread Cellars Two Creeks Pinot Noir opens with aromas of sweet black cherry, raspberry, rose petal and violet that carry over onto a fresh palate of raspberry and strawberry flavors. Round, silky tannins support the bright fruit. A touch of minerality complements the delicious red fruit expression over a smooth finish.The grapes were harvested at night to retain the freshness, natural acidity and fruit purity. The grapes were hand-sorted and destemmed before heading to small tanks—kept separate by each vineyard block. In tanks, the grapes were given time to “coldsoak,” which helped along the extraction of deep color and flavor and allowed native yeast to naturally begin fermentation. The team allowed a portion (20%) of this wine tofermented with its grape stems for spicy aromatics and complexity, and later they added cultured yeast to finish fermentation. After fermentation, the free-run wine was transferred to French oak barrels (35% new). Individual lots were evaluated and blended early—within three months of harvest—to integrate flavors and ensure balance. The blended wine aged in barrel for 10 months.The grapes for this Pinot Noir were grown on the family’s Annahala and Apple Barn vineyards in Anderson Valley, Mendocino County, where the nearby Pacific Coast and its cooling influence provide ideal ripening conditions for Pinot Noir. The Apple Barn Ranch sits just north of Booneville on the east side of the valley, where full sun exposure and gravelly soils give us ripe, concentrated fruit. Annahala Vineyard, closer to the ocean,experiences more time in the fog, and its Pinot Noir is characterized by delicate, nuanced expression. The Two Creeks Pinot Noir blends both vineyards expressions for beautiful balance between ripeness and natural acidity.The season began with ample rainfall to fill the soils. A mild summer provided plenty of sunshine for grapes to ripen slowly and evenly, with foggy mornings preserving freshness in the fruit as it languished on the vines. 14.1%Explore other whites from the Cakebread Cellars. "
Chizay Chersegi 2021," This wine is created from autochthonous Chersegi Fuszeres grape, which grows in Ukraine at Chateau Chizay vineyards only. Its rich bouquet is full of aromas of flowers and summer fruits. The taste of the wine is bright, fruity and spicy, with delicate bitterness, apricot tones and refreshing acidity. White wine is usually about fragility. Often – about freshness and floral mood. Sometimes – about a special character. And it’s all about Chersegi. Unique Ukrainian wine from Chateau Chizay. Only Chateau Chizay produces wine of this variety in Ukraine.One of the company’s favorite varieties is more than half a century old. It is a guest from Hungary. In 1960, a breeder Caro Baconi bred new grapes by crossing the noble Traminer Pink and Irshai Oliver. The full name of the new variety is Cserszegi fűszeres (Hungarian: Cserszegi fűszeres).According to the founder of Chateau Chizai Gennadiy Gutman, Chersegi is in line with the company’s philosophy: to make wine is not of just exceptional quality, but special, the one that has its own character. And this variety, native to the Carpathian macro terroir, worthily represents the winery in Ukraine and abroad. "
Villa Valentina Bianco Il Classico 2019," Villa Valentina Bianco Il Classico 201   Villa Valentina Bianco Il Classico is yellow straw tending to gold colour. This elegant wine has an intense aroma of white fruits like peach, apricot and flower flavours as acacia. This blend of white fruits and floral give this white a soft and harmonic taste. It is made of a blend of white grapes which gives it complex notes and crisp finish. This table wine is suitable for every drink and goes with a simple weekend brunch or lunch. Best paired grilled fish and seafood also goes well with danish pastries. Also a perfect bottle for chilling by the pool or lazing around with a book in a hand and a glass in another. The refreshing and fruity finish definitely makes it the perfect choice for a hot day, which is everyday on this sunny island. Grab a few bottles because trust me, you'll need them.     A blend of 70% malvasia, 20% sauvignon blanc, 10% traminer.This organic wine comes from the finest vineyards in Apulia. It is entirely made with typical aromatic grapes, hand-picked and cautiously selected. The grapes undergo soft crushing before fermentation and maceration under controlled temperature to express the typical aromatic flavours of these elegant grapes.    Check out other Tuscany wines.13%  "
Bodega Chacra Cincuenta y Cinco 55 2020," Bodega Chacra Cincuenta y Cinco 55 Bodega Chacra Cincuenta y Cinco 55is a 100% bottle of Pinot Noir with a wonderful purity. The nose complex, full of savoury earth and subtle red berry and cherry fruit.  Extremely perfumed and beautiful with ripe strawberries and citrus fruit, as well as aromatic flowers. Full-bodied with plenty of fruit and creamy, chewy tannins that are polished and very impressive. Long and linear. Bodega Chacra Cincuenta y Cinco 55 is one of the best of this bottling. Drink after 2023, but already a gorgeous bottle.Located in the Rio Negro Valley of northern Patagonia. Founded in 2004 by Piero Incisa della Rocchetta, the man has dedicated himself to producing world class Pinot Noir from one of the harshest and remote wine regions on the planet.A neglected plot of Pinot Noir planted over 70 years ago forms the foundations of the label with more vineyards procured over time. Piero farms these sites in accordance with biodynamics, believing that healthy vines make the best wines. Cincuenta y Cinco is sourced from vineyards planted in 1955 that gently rest on a sea of pebbles, typical in riverbed soils. Carefully hand-picked, selected and gently pressed. Fermented whole cluster at very low temperatures to enhance the floral characteristics of the wine. The wine is then aged for 8 months with 30% in cement and 70% in 2nd and 3rd use French oak barrels.Harvested manually, the reds are fermented naturally in large round cement vats (Piero calls them his 'Bentleys') with the minimum of intervention before being aged either in cement vats or Burgundian oak barrels of which about 20% are new. Malolactic fermentation takes place naturally in barrel over the course of the following six months, and the wines are then left undisturbed on their lees before being bottled without any fining or filtration.Did you know? Piero Incisa della Rochetta is the grandson of the founder of Tenuta San Guido, the producer of Sassicaia, and Chacra is his personal project in northern Patagonia. 12.5%  AWARDS & ACCOLADES  ""The blue-fruit character is impressive with intense, violet and floral character, which turns redder with earthier notes. Full-bodied, tight and very chewy, yet the tannins spread across the palate, releasing pure, seductive fruit and tense, bright acidity. Try after 2022."" "
Chateau La Truffe Pomerol 2018," Chateau La Truffe Pomerol 2018 Deep colour, with a rich nose and fragrant bouquet of black fruit with hints of spices evolving into ripe fruit aromas on the palate lifted by a both elegant and powerful backbone. It has notes of bergamot and Asian black tea with a lifting acidity. 85 % Merlot, 10 % Cabernet Franc , 5% Cabernet-Sauvignon from 2.35 hectares of vines with average age of the 45 years old. The soil is of fine gravel (Libourne and Pomerol)with traces of ferruginous sandstone in the subsoil. Tillage of the soil and grass cover every other row.  Wines are fermented in temperature-controlled stainless steel vats and aged in French oak barrels (1/3 new, 1/3 one year old). Certified HVE 3.   Interested in more wines from Bordeaux?    AWARDS & ACCOLADES  - 89 Points  - 15.5/20 Points "
Bodegas Valduero Valduero Una Cepa 2016," Bodegas Valduero Valduero Una Cepa 2016 Bodegas Valduero Valduero Una Cepa can only be described as an elite wine. This is a wine with history, different, that marks the style of Valduero. Only produced in the best years. Born in 2006 when Yolanda García Viadero noticed an area of the vineyard that produced a very characteristic grape, with little production and very small bunches. Fun Fact: It takes one vine to produce one bottle, which makes this wine oh so very precious. Complex and extraordinarily intense aromas of cherry, strawberry, hints of pepper, dry herbs, leather, vanilla and farmyard waft from the glass. Powerful yet refined on the well-structured palate, with smooth tannins, an elegant acidity and a long finish. A wine you'll be greedy for – your palate will miss it and want another drink once it's gone. Ageing potential: Will keep until 2035.  100% Tempranillo from an extremely low yielding vineyard in Ribera del Duero, Spain. The vineyard is over 50 years old and is cultivated without irrigation or chemical fertilisers. Balanced cultivation with strict pruning in winter and green pruning in June. The yield is three times lower than vines grown on trellises, producing grapes with a quality that is three times greater.  Harvesting the grapes by hand. Fermentation with native yeasts for 9 days between 23–28ºC and then a 10-day maceration. The wine ages for 18 months in oak barrels from 2 different origins, then a further 12 months in bottle.   AWARDS & ACCOLADES    - 96 POINTS "
Wildman Piggy Pop Pét-Nat 2021," Wildman Piggy Pop Pét-Nat 2021 Wildman Piggy Pop is made for park drinking and pizza. Hazy rose petal pink colour. The nose is a riot of cherry aromas. Frothy palate bursting with pomegranate, blood orange and spice. The palate has a creamy mousse, is tangy with the snap, crackle and pop of Nero acidity and a mouthwatering freshness from the Arneis and Fiano.     48% Nero d'Avola, 23% Mataro, 10% Fiano, 10% Zibibbo and 9% Arneis. The fruit comes from South Australian vineyards in Adelaide Hills, Mclaren Vale and Riverland.  Hand harvesting of the fruit. Pétillant-Naturel (natural sparkling) is an ancient, natural form of fizzy wine which is bottled before the completion of primary fermentation. Serve cold, no need to shake before opening! "
Felton Road Calvert Pinot Noir 2020," Felton Road Calvert Pinot Noir 2020 Like a puppy, lively and full of vigour but also delicate and soft.The Felton Road Calvert Pinot Noir has a characteristic aroma of floral and is finely supported by mineral and spice notes on the nose. It’s seamlessly followed by a detailed palate that emphasizes precision and elegance. There is a crunch to the texture of the wine with a refine and evident tannins. The wine finishes with the accuracy and finesse that is becoming the hallmark of Calvert.The Calvert Pinot Noir is always a little more floral and delicate when compared to the other fine Pinot Noirs in the Felton Road stable. Calvert vineyard sits just a kilometer away from the Elms vineyard and home winery. The fruit from this site always provides the most aromatic and ethereal style of Pinot Noir for Felton Road.13.5%Explore PN from other parts of the world. AWARDS & ACCOLADES- 98 PointsBeguiling pinot noir with an intense and seductive aroma suggesting red rose, violet and ripe black cherry. Mixed spices are more evident on the palate, which reveals fine, silken tannins and a very lengthy finish. An utterly charming wine that is delicious now but may become even more interesting in time. ""A very vibrant and ripe Calvert with attractively spicy oak integration, as well as abundant red and dark cherries. Super fragrant. The palate is so silky and plush, packed with concentrated, fresh red-cherry flavor. Blueberry finish. Drink or hold. - 92 PointsDense, dark, brambly fruit flavors at the core expand to loam, white pepper, dried herb, tobacco and black tea notes and muscular tannins that firm up on the long finish, where all the elements find harmony""This is a pup of a Pinot Noir, full of youthful vigor. In addition to its floral and cherry-infused nose, there is a bouquet garni of woody herbs, which could be partly explained by a 25% whole bunch component, as well as in-bunch variation, which was a signature of this vintage at Felton Road, according to winemaker Blair Walter. While silken and satisfying, there is an innate energy and this youthful expression has a brace of gravelly tannins that build toward the end. The sinewy, fragrant and fresh finish provides line and length. Far too young to be approaching. Give it a minimum of 2 years to get into its groove. Drinking window: 2022 - 2030 - 91 Points "
